Station,Serial Number,WMO,Deployment Date,Deployment Time,Event,Latitude,Longitude
HL_07,AI2600-24CA008,4902699,4/6/2025,11:40:00,101,42.4705,-61.4103
LL_09,AI2600-24CA011,4902702,4/11/2025,10:58:00,154,43.4719,-57.4984
