Common Name,Latin,Total no.
Unidentified Murres,Uria,9
Unidentified Auks,Alcidae,8
Common Murre,Uria allge,8
Black-legged Kittiwake,Rissa tridactyla,5
Black Guillemot,Cepphus grylle,4
Great Black-backed Gull,Larus marinus,4
Atlantic Puffin,Fratercula arctica,3
Common Eider,Somateria mollissima,2
Thick-billed Murre,Uria lomvia,1
Total,,44
